Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Sell,361,2463.43,2021-10-06 19:00:00,889298.23,889526.0499999998
Buy,364,2439.59,2021-10-06 20:00:00,888010.76,1515.2899999998044
Sell,364,2443.29,2021-10-06 20:15:00,889357.5599999999,890872.8499999997
Buy,359,2478.28,2021-10-06 22:30:00,889702.52,1170.3299999997253
Sell,359,2487.7,2021-10-06 22:45:00,893084.2999999999,894254.6299999997
Buy,408,2191.5,2021-10-07 00:30:00,894132.0,122.62999999965541
Sell,408,2177.55,2021-10-07 00:45:00,888440.4,888563.0299999997
Buy,408,2177.55,2021-10-07 00:45:00,888440.4,122.62999999965541
Sell,408,2164.61,2021-10-07 01:00:00,883160.88,883283.5099999997
Buy,408,2164.61,2021-10-07 01:00:00,883160.88,122.62999999965541
Sell,408,2157.26,2021-10-07 01:15:00,880162.0800000001,880284.7099999997
Buy,409,2148.43,2021-10-07 01:45:00,878707.8699999999,1576.839999999851
Sell,409,2148.13,2021-10-07 02:00:00,878585.17,880162.0099999999
Buy,410,2143.19,2021-10-07 02:15:00,878707.9,1454.1099999998696
Sell,410,2133.27,2021-10-07 02:30:00,874640.7,876094.8099999998
Buy,410,2133.27,2021-10-07 02:30:00,874640.7,1454.1099999998696
Sell,410,2135.76,2021-10-07 02:45:00,875661.6000000001,877115.71
Buy,410,2135.76,2021-10-07 02:45:00,875661.6000000001,1454.1099999998696
Sell,410,2141.9,2021-10-07 03:00:00,878179.0,879633.1099999999
Buy,410,2141.9,2021-10-07 03:00:00,878179.0,1454.1099999998696
Sell,410,2135.45,2021-10-07 03:15:00,875534.4999999999,876988.6099999998
Buy,410,2135.45,2021-10-07 03:15:00,875534.4999999999,1454.1099999998696
Sell,410,2135.27,2021-10-07 03:30:00,875460.7,876914.8099999998
Buy,410,2135.27,2021-10-07 03:30:00,875460.7,1454.1099999998696
Sell,410,2134.2,2021-10-07 03:45:00,875021.9999999999,876476.1099999998
Buy,410,2136.63,2021-10-07 04:15:00,876018.3,457.80999999970663
Sell,410,2126.73,2021-10-07 04:30:00,871959.3,872417.1099999998
Buy,413,2107.29,2021-10-07 04:45:00,870310.77,2106.3399999997346
Sell,413,2113.44,2021-10-07 05:00:00,872850.72,874957.0599999997
Buy,413,2113.44,2021-10-07 05:00:00,872850.72,2106.3399999997346
Sell,413,2111.09,2021-10-07 05:15:00,871880.17,873986.5099999998
Buy,413,2111.09,2021-10-07 05:15:00,871880.17,2106.3399999997346
Sell,413,2117.82,2021-10-07 05:30:00,874659.66,876765.9999999998
Buy,413,2121.61,2021-10-07 06:00:00,876224.93,541.069999999716
Sell,413,2122.74,2021-10-07 06:15:00,876691.6199999999,877232.6899999996
Buy,413,2122.74,2021-10-07 06:15:00,876691.6199999999,541.069999999716
Sell,413,2117.3,2021-10-07 06:30:00,874444.9,874985.9699999997
Buy,410,2132.4,2021-10-07 06:45:00,874284.0,701.9699999997392
Sell,410,2114.16,2021-10-07 07:00:00,866805.6,867507.5699999997
Buy,410,2114.16,2021-10-07 07:00:00,866805.6,701.9699999997392
Sell,410,2113.69,2021-10-07 07:15:00,866612.9,867314.8699999998
Buy,408,2121.7,2021-10-07 07:45:00,865653.6,1661.2699999997858
