Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,372,2569.57,2021-10-06 11:30:00,955880.04,1310.1300000002375
Sell,372,2565.25,2021-10-06 11:45:00,954273.0,955583.1300000002
Buy,372,2565.25,2021-10-06 11:45:00,954273.0,1310.1300000002375
Sell,372,2554.22,2021-10-06 12:00:00,950169.84,951479.9700000002
Buy,372,2554.22,2021-10-06 12:00:00,950169.84,1310.1300000002375
Sell,372,2534.99,2021-10-06 12:15:00,943016.2799999999,944326.4100000001
Buy,372,2534.99,2021-10-06 12:15:00,943016.2799999999,1310.1300000002375
Sell,372,2543.8,2021-10-06 12:30:00,946293.6000000001,947603.7300000003
Buy,372,2543.8,2021-10-06 12:30:00,946293.6000000001,1310.1300000002375
Sell,372,2555.94,2021-10-06 12:45:00,950809.68,952119.8100000003
Buy,372,2555.94,2021-10-06 12:45:00,950809.68,1310.1300000002375
Sell,372,2534.5,2021-10-06 13:15:00,942834.0,944144.1300000002
Buy,372,2534.5,2021-10-06 13:15:00,942834.0,1310.1300000002375
Sell,372,2536.67,2021-10-06 13:30:00,943641.24,944951.3700000002
Buy,372,2536.67,2021-10-06 13:30:00,943641.24,1310.1300000002375
Sell,372,2544.1,2021-10-06 13:45:00,946405.2,947715.3300000002
Buy,372,2544.1,2021-10-06 13:45:00,946405.2,1310.1300000002375
Sell,372,2531.72,2021-10-06 14:00:00,941799.84,943109.9700000002
Buy,372,2531.72,2021-10-06 14:00:00,941799.84,1310.1300000002375
Sell,372,2521.19,2021-10-06 14:15:00,937882.68,939192.8100000003
Buy,372,2521.19,2021-10-06 14:15:00,937882.68,1310.1300000002375
Sell,372,2515.55,2021-10-06 14:30:00,935784.6000000001,937094.7300000003
Buy,372,2515.55,2021-10-06 14:30:00,935784.6000000001,1310.1300000002375
Sell,372,2521.63,2021-10-06 14:45:00,938046.36,939356.4900000002
Buy,372,2521.63,2021-10-06 14:45:00,938046.36,1310.1300000002375
Sell,372,2518.0,2021-10-06 15:00:00,936696.0,938006.1300000002
Buy,372,2518.0,2021-10-06 15:00:00,936696.0,1310.1300000002375
Sell,372,2511.75,2021-10-06 15:45:00,934371.0,935681.1300000002
Buy,377,2480.77,2021-10-06 16:15:00,935250.29,430.84000000020023
Sell,377,2613.15,2021-10-06 16:30:00,985157.55,985588.3900000002
Buy,377,2613.15,2021-10-06 16:30:00,985157.55,430.84000000020023
Sell,377,2479.62,2021-10-06 16:45:00,934816.74,935247.5800000002
Buy,377,2479.62,2021-10-06 16:45:00,934816.74,430.84000000020023
Sell,377,2459.34,2021-10-06 17:00:00,927171.18,927602.0200000003
Buy,376,2464.69,2021-10-06 17:45:00,926723.4400000001,878.5800000001909
Sell,376,2613.15,2021-10-06 18:00:00,982544.4,983422.9800000002
Buy,376,2613.15,2021-10-06 18:00:00,982544.4,878.5800000001909
Sell,376,2470.5,2021-10-06 18:15:00,928908.0,929786.5800000002
Buy,376,2470.5,2021-10-06 18:15:00,928908.0,878.5800000001909
Sell,376,2468.95,2021-10-06 18:30:00,928325.2,929203.7800000001
Buy,376,2468.95,2021-10-06 18:30:00,928325.2,878.5800000001909
Sell,376,2473.04,2021-10-06 18:45:00,929863.04,930741.6200000002
Buy,377,2463.43,2021-10-06 19:00:00,928713.11,2028.5100000002421
Sell,377,2454.65,2021-10-06 19:15:00,925403.05,927431.5600000003
Buy,377,2454.65,2021-10-06 19:15:00,925403.05,2028.5100000002421
Sell,377,2467.98,2021-10-06 19:30:00,930428.46,932456.9700000002
Buy,377,2467.98,2021-10-06 19:30:00,930428.46,2028.5100000002421
Sell,377,2439.59,2021-10-06 20:00:00,919725.43,921753.9400000003
Buy,370,2489.1,2021-10-06 22:00:00,920967.0,786.9400000002934
Sell,370,2478.28,2021-10-06 22:30:00,916963.6000000001,917750.5400000004
Buy,369,2483.96,2021-10-06 23:15:00,916581.24,1169.3000000003958
Sell,369,2484.06,2021-10-06 23:30:00,916618.14,917787.4400000004
Buy,369,2484.06,2021-10-06 23:30:00,916618.14,1169.3000000003958
Sell,369,2471.11,2021-10-06 23:45:00,911839.5900000001,913008.8900000005
Buy,369,2471.11,2021-10-06 23:45:00,911839.5900000001,1169.3000000003958
Sell,369,2164.31,2021-10-07 00:00:00,798630.39,799799.6900000004
Buy,369,2164.61,2021-10-07 01:00:00,798741.0900000001,1058.600000000326
Sell,369,2157.26,2021-10-07 01:15:00,796028.9400000001,797087.5400000004
Buy,373,2135.45,2021-10-07 03:15:00,796522.85,564.6900000004098
Sell,373,2135.27,2021-10-07 03:30:00,796455.71,797020.4000000004
Buy,373,2135.27,2021-10-07 03:30:00,796455.71,564.6900000004098
Sell,373,2134.2,2021-10-07 03:45:00,796056.6,796621.2900000004
Buy,373,2134.2,2021-10-07 03:45:00,796056.6,564.6900000004098
Sell,373,2133.75,2021-10-07 04:00:00,795888.75,796453.4400000004
Buy,373,2133.75,2021-10-07 04:00:00,795888.75,564.6900000004098
Sell,373,2136.63,2021-10-07 04:15:00,796962.99,797527.6800000004
Buy,373,2136.63,2021-10-07 04:15:00,796962.99,564.6900000004098
Sell,373,2126.73,2021-10-07 04:30:00,793270.29,793834.9800000004
Buy,373,2126.73,2021-10-07 04:30:00,793270.29,564.6900000004098
Sell,373,2107.29,2021-10-07 04:45:00,786019.17,786583.8600000005
Buy,370,2122.74,2021-10-07 06:15:00,785413.7999999999,1170.0600000005215
Sell,370,2117.3,2021-10-07 06:30:00,783401.0000000001,784571.0600000006
Buy,370,2117.3,2021-10-07 06:30:00,783401.0000000001,1170.0600000005215
Sell,370,2132.4,2021-10-07 06:45:00,788988.0,790158.0600000005
