Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Sell,356,2565.25,2021-10-06 11:45:00,913229.0,914489.0700000001
Buy,356,2565.25,2021-10-06 11:45:00,913229.0,1260.0700000000652
Sell,356,2554.22,2021-10-06 12:00:00,909302.32,910562.39
Buy,356,2554.22,2021-10-06 12:00:00,909302.32,1260.0700000000652
Sell,356,2534.99,2021-10-06 12:15:00,902456.44,903716.51
Buy,353,2555.94,2021-10-06 12:45:00,902246.8200000001,1469.6899999999441
Sell,353,2534.5,2021-10-06 13:15:00,894678.5,896148.19
Buy,353,2534.5,2021-10-06 13:15:00,894678.5,1469.6899999999441
Sell,353,2536.67,2021-10-06 13:30:00,895444.51,896914.2
Buy,352,2544.1,2021-10-06 13:45:00,895523.2,1391.0
Sell,352,2531.72,2021-10-06 14:00:00,891165.44,892556.44
Buy,352,2531.72,2021-10-06 14:00:00,891165.44,1391.0
Sell,352,2521.19,2021-10-06 14:15:00,887458.88,888849.88
Buy,352,2521.19,2021-10-06 14:15:00,887458.88,1391.0
Sell,352,2515.55,2021-10-06 14:30:00,885473.6000000001,886864.6000000001
Buy,351,2521.63,2021-10-06 14:45:00,885092.13,1772.4700000000885
Sell,351,2518.0,2021-10-06 15:00:00,883818.0,885590.4700000001
Buy,351,2518.0,2021-10-06 15:00:00,883818.0,1772.4700000000885
Sell,351,2511.75,2021-10-06 15:45:00,881624.25,883396.7200000001
Buy,351,2511.75,2021-10-06 15:45:00,881624.25,1772.4700000000885
Sell,351,2489.73,2021-10-06 16:00:00,873895.23,875667.7000000001
Buy,351,2489.73,2021-10-06 16:00:00,873895.23,1772.4700000000885
Sell,351,2480.77,2021-10-06 16:15:00,870750.27,872522.7400000001
Buy,333,2613.15,2021-10-06 16:30:00,870178.9500000001,2343.7900000000373
Sell,333,2479.62,2021-10-06 16:45:00,825713.46,828057.25
Buy,333,2479.62,2021-10-06 16:45:00,825713.46,2343.7900000000373
Sell,333,2459.34,2021-10-06 17:00:00,818960.2200000001,821304.0100000001
Buy,314,2613.15,2021-10-06 18:00:00,820529.1,774.910000000149
Sell,314,2470.5,2021-10-06 18:15:00,775737.0,776511.9100000001
Buy,314,2470.5,2021-10-06 18:15:00,775737.0,774.910000000149
Sell,314,2468.95,2021-10-06 18:30:00,775250.2999999999,776025.2100000001
Buy,313,2473.04,2021-10-06 18:45:00,774061.52,1963.6900000000605
Sell,313,2463.43,2021-10-06 19:00:00,771053.59,773017.28
Buy,313,2463.43,2021-10-06 19:00:00,771053.59,1963.6900000000605
Sell,313,2454.65,2021-10-06 19:15:00,768305.4500000001,770269.1400000001
Buy,312,2467.98,2021-10-06 19:30:00,770009.76,259.3800000001211
Sell,312,2439.59,2021-10-06 20:00:00,761152.0800000001,761411.4600000002
Buy,312,2439.59,2021-10-06 20:00:00,761152.0800000001,259.3800000001211
Sell,312,2443.29,2021-10-06 20:15:00,762306.48,762565.8600000001
Buy,307,2476.89,2021-10-06 21:30:00,760405.23,2160.630000000121
Sell,307,2482.27,2021-10-06 21:45:00,762056.89,764217.5200000001
Buy,307,2489.1,2021-10-06 22:00:00,764153.7,63.82000000018161
Sell,307,2478.28,2021-10-06 22:30:00,760831.9600000001,760895.7800000003
Buy,306,2485.62,2021-10-06 23:00:00,760599.72,296.0600000002887
Sell,306,2483.96,2021-10-06 23:15:00,760091.76,760387.8200000003
Buy,306,2484.06,2021-10-06 23:30:00,760122.36,265.460000000312
Sell,306,2471.11,2021-10-06 23:45:00,756159.66,756425.1200000003
Buy,306,2471.11,2021-10-06 23:45:00,756159.66,265.460000000312
Sell,306,2164.31,2021-10-07 00:00:00,662278.86,662544.3200000003
Buy,307,2157.26,2021-10-07 01:15:00,662278.8200000001,265.50000000023283
Sell,307,1925.49,2021-10-07 01:30:00,591125.43,591390.9300000003
Buy,276,2135.76,2021-10-07 02:45:00,589469.76,1921.1700000002747
Sell,276,2141.9,2021-10-07 03:00:00,591164.4,593085.5700000003
Buy,278,2126.73,2021-10-07 04:30:00,591230.9400000001,1854.6300000002375
