Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,386,2537.65,2021-10-06 06:15:00,979532.9,831.2800000000279
Sell,386,2533.08,2021-10-06 06:30:00,977768.88,978600.16
Buy,386,2533.08,2021-10-06 06:30:00,977768.88,831.2800000000279
Sell,386,2539.45,2021-10-06 06:45:00,980227.7,981058.98
Buy,386,2539.45,2021-10-06 06:45:00,980227.7,831.2800000000279
Sell,386,2547.04,2021-10-06 07:00:00,983157.44,983988.72
Buy,386,2547.04,2021-10-06 07:00:00,983157.44,831.2800000000279
Sell,386,2543.97,2021-10-06 07:15:00,981972.4199999999,982803.7
Buy,386,2543.97,2021-10-06 07:15:00,981972.4199999999,831.2800000000279
Sell,386,2539.69,2021-10-06 07:30:00,980320.34,981151.62
Buy,386,2539.69,2021-10-06 07:30:00,980320.34,831.2800000000279
Sell,386,2547.14,2021-10-06 07:45:00,983196.0399999999,984027.32
Buy,386,2547.14,2021-10-06 07:45:00,983196.0399999999,831.2800000000279
Sell,386,2542.92,2021-10-06 08:00:00,981567.12,982398.4
Buy,386,2542.92,2021-10-06 08:00:00,981567.12,831.2800000000279
Sell,386,2539.65,2021-10-06 08:15:00,980304.9,981136.18
Buy,386,2539.65,2021-10-06 08:15:00,980304.9,831.2800000000279
Sell,386,2515.51,2021-10-06 08:30:00,970986.8600000001,971818.1400000001
Buy,386,2515.51,2021-10-06 08:30:00,970986.8600000001,831.2800000000279
Sell,386,2511.87,2021-10-06 08:45:00,969581.82,970413.1
Buy,386,2511.87,2021-10-06 08:45:00,969581.82,831.2800000000279
Sell,386,2499.59,2021-10-06 09:00:00,964841.7400000001,965673.0200000001
Buy,386,2499.59,2021-10-06 09:00:00,964841.7400000001,831.2800000000279
Sell,386,2509.0,2021-10-06 09:15:00,968474.0,969305.28
Buy,386,2509.0,2021-10-06 09:15:00,968474.0,831.2800000000279
Sell,386,2546.68,2021-10-06 09:30:00,983018.48,983849.76
Buy,386,2546.68,2021-10-06 09:30:00,983018.48,831.2800000000279
Sell,386,2567.06,2021-10-06 09:45:00,990885.16,991716.4400000001
Buy,386,2567.06,2021-10-06 09:45:00,990885.16,831.2800000000279
Sell,386,2586.93,2021-10-06 10:00:00,998554.98,999386.26
Buy,386,2586.93,2021-10-06 10:00:00,998554.98,831.2800000000279
Sell,386,2597.91,2021-10-06 10:15:00,1002793.2599999999,1003624.5399999999
Buy,386,2597.91,2021-10-06 10:15:00,1002793.2599999999,831.2800000000279
Sell,386,2589.96,2021-10-06 10:30:00,999724.56,1000555.8400000001
Buy,386,2589.96,2021-10-06 10:30:00,999724.56,831.2800000000279
Sell,386,2575.99,2021-10-06 10:45:00,994332.1399999999,995163.4199999999
Buy,386,2575.99,2021-10-06 10:45:00,994332.1399999999,831.2800000000279
Sell,386,2580.83,2021-10-06 11:00:00,996200.38,997031.66
Buy,386,2580.83,2021-10-06 11:00:00,996200.38,831.2800000000279
Sell,386,2566.84,2021-10-06 11:15:00,990800.2400000001,991631.5200000001
Buy,386,2566.84,2021-10-06 11:15:00,990800.2400000001,831.2800000000279
Sell,386,2569.57,2021-10-06 11:30:00,991854.02,992685.3
Buy,386,2569.57,2021-10-06 11:30:00,991854.02,831.2800000000279
Sell,386,2565.25,2021-10-06 11:45:00,990186.5,991017.78
Buy,386,2565.25,2021-10-06 11:45:00,990186.5,831.2800000000279
Sell,386,2554.22,2021-10-06 12:00:00,985928.9199999999,986760.2
Buy,386,2554.22,2021-10-06 12:00:00,985928.9199999999,831.2800000000279
Sell,386,2534.99,2021-10-06 12:15:00,978506.1399999999,979337.4199999999
Buy,386,2534.99,2021-10-06 12:15:00,978506.1399999999,831.2800000000279
Sell,386,2543.8,2021-10-06 12:30:00,981906.8,982738.0800000001
Buy,386,2543.8,2021-10-06 12:30:00,981906.8,831.2800000000279
Sell,386,2555.94,2021-10-06 12:45:00,986592.84,987424.12
Buy,386,2555.94,2021-10-06 12:45:00,986592.84,831.2800000000279
Sell,386,2534.5,2021-10-06 13:15:00,978317.0,979148.28
Buy,386,2534.5,2021-10-06 13:15:00,978317.0,831.2800000000279
Sell,386,2536.67,2021-10-06 13:30:00,979154.62,979985.9
Buy,386,2536.67,2021-10-06 13:30:00,979154.62,831.2800000000279
Sell,386,2544.1,2021-10-06 13:45:00,982022.6,982853.88
Buy,386,2544.1,2021-10-06 13:45:00,982022.6,831.2800000000279
Sell,386,2531.72,2021-10-06 14:00:00,977243.9199999999,978075.2
Buy,386,2531.72,2021-10-06 14:00:00,977243.9199999999,831.2800000000279
Sell,386,2521.19,2021-10-06 14:15:00,973179.34,974010.62
Buy,386,2521.19,2021-10-06 14:15:00,973179.34,831.2800000000279
Sell,386,2515.55,2021-10-06 14:30:00,971002.3,971833.5800000001
Buy,386,2515.55,2021-10-06 14:30:00,971002.3,831.2800000000279
Sell,386,2521.63,2021-10-06 14:45:00,973349.18,974180.4600000001
Buy,386,2521.63,2021-10-06 14:45:00,973349.18,831.2800000000279
Sell,386,2518.0,2021-10-06 15:00:00,971948.0,972779.28
Buy,386,2518.0,2021-10-06 15:00:00,971948.0,831.2800000000279
Sell,386,2511.75,2021-10-06 15:45:00,969535.5,970366.78
Buy,386,2511.75,2021-10-06 15:45:00,969535.5,831.2800000000279
Sell,386,2489.73,2021-10-06 16:00:00,961035.78,961867.06
Buy,386,2489.73,2021-10-06 16:00:00,961035.78,831.2800000000279
Sell,386,2480.77,2021-10-06 16:15:00,957577.22,958408.5
Buy,386,2480.77,2021-10-06 16:15:00,957577.22,831.2800000000279
Sell,386,2613.15,2021-10-06 16:30:00,1008675.9,1009507.18
Buy,386,2613.15,2021-10-06 16:30:00,1008675.9,831.2800000000279
Sell,386,2479.62,2021-10-06 16:45:00,957133.32,957964.6
Buy,386,2479.62,2021-10-06 16:45:00,957133.32,831.2800000000279
Sell,386,2459.34,2021-10-06 17:00:00,949305.2400000001,950136.5200000001
Buy,386,2459.34,2021-10-06 17:00:00,949305.2400000001,831.2800000000279
Sell,386,2453.2,2021-10-06 17:15:00,946935.2,947766.48
Buy,386,2453.2,2021-10-06 17:15:00,946935.2,831.2800000000279
Sell,386,2453.57,2021-10-06 17:30:00,947078.02,947909.3
Buy,386,2453.57,2021-10-06 17:30:00,947078.02,831.2800000000279
